Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Source Port,Destination Port,Label
55957,30,20,182,625,20591,8080,Bot
8443,15,18,639,3347,29148,130,BENIGN
3381,5,13,841,366,13279,797,BENIGN
9221,8,6,204,3436,4941,375,BENIGN
2333,14,9,1348,4140,16853,777,BENIGN
851583,4274,3,78,0,6194,80,DDoS
8470,12,4,531,4133,26103,35,BENIGN
5055,7,2,1264,1647,56719,246,BENIGN
3467,8,11,533,2646,33147,584,BENIGN
9863,8,11,284,807,37352,736,BENIGN
35,2,0,0,0,40961,30749,PortScan
9752,12,20,899,3418,50089,325,BENIGN
6861,12,15,784,2067,13724,914,BENIGN
3198213,2426,9,82,0,22239,80,DDoS
3892,14,5,375,1672,54122,781,BENIGN
1739,13,19,388,4560,49903,122,BENIGN
97256,68,74,30879,8499,19857,445,Infiltration
61,2,0,0,0,19015,63749,PortScan
9736,3,20,949,2146,9998,440,BENIGN
9605,5,6,109,4427,35744,937,BENIGN
7746,5,11,804,3843,3742,716,BENIGN
7245,2,17,415,2453,37902,158,BENIGN
9121,18,1,916,1540,63816,604,BENIGN
2453,10,8,745,1248,22810,256,BENIGN
7280,17,16,1349,842,37745,736,BENIGN
6914,11,2,654,3200,8004,129,BENIGN
40,2,0,0,0,9877,37795,PortScan
3696732,1604,10,71,0,6411,80,DDoS
1324,17,8,70,202,40287,404,BENIGN
2254156,1442,2,91,0,45993,80,DDoS
8822,9,6,988,3710,7256,651,BENIGN
9318,9,18,1410,4522,46644,581,BENIGN
7230,9,1,1232,383,13246,456,BENIGN
37548,30,19,1170,17099,35769,445,Infiltration
5968,15,14,1066,2531,11940,494,BENIGN
57,2,0,0,0,62479,65113,PortScan
8587,20,11,1300,1880,18155,92,BENIGN
6119,3,11,452,3763,31417,196,BENIGN
9045,13,2,1499,3595,63922,120,BENIGN
25133,8,13,594,899,27547,8080,Bot
4596,7,15,215,4419,25549,66,BENIGN
4307,15,8,296,1901,5665,192,BENIGN
83,2,0,0,0,43028,45577,PortScan
34024,38,7,304,562,19133,8080,Bot
1861,8,3,1315,554,35534,950,BENIGN
2449461,1899,5,65,0,6882,80,DDoS
4241,8,3,69,2618,59025,392,BENIGN
2262,10,9,215,2548,62988,314,BENIGN
7357,9,1,459,3312,58227,588,BENIGN
1372,17,20,284,4095,59192,266,BENIGN
3200,3,18,792,2651,21763,489,BENIGN
6323,9,2,1495,1324,35309,1008,BENIGN
2500229,3482,8,96,0,60762,80,DDoS
9014,14,19,579,3852,19249,515,BENIGN
2770,2,11,1082,2928,27127,521,BENIGN
5157,18,5,1165,887,44424,1007,BENIGN
7235,12,9,268,384,57819,508,BENIGN
4164,26,7,574,243,31695,8080,Bot
1305,20,1,1425,467,31928,763,BENIGN
5547,16,8,248,328,3271,528,BENIGN
38406,38,32,861,920,60708,8080,Bot
39858,41,41,353,286,48224,8080,Bot
857,3,5,1149,2325,13924,906,BENIGN
4973,4,15,159,4338,62392,149,BENIGN
1953321,2456,6,96,0,42451,80,DDoS
45052,42,8,998,841,63577,8080,Bot
22,2,0,0,0,59017,15359,PortScan
8613,18,14,924,2279,63075,21,BENIGN
7482,4,15,584,2885,58773,368,BENIGN
61,2,0,0,0,6998,39356,PortScan
5472,4,20,767,4842,20816,876,BENIGN
3398,15,10,1003,1669,54687,75,BENIGN
602,8,12,1220,3877,5028,840,BENIGN
48,2,0,0,0,54381,45896,PortScan
7248,16,15,464,4983,60453,966,BENIGN
6556,17,17,455,878,12850,899,BENIGN
5551,4,13,427,2985,34927,937,BENIGN
6176,7,13,1204,1397,12997,36,BENIGN
4968,15,11,475,2092,38591,636,BENIGN
7392,20,10,1142,2699,19798,452,BENIGN
5613,15,4,871,2749,18727,64,BENIGN
6529,20,8,1396,1083,20611,32,BENIGN
31394,18,34,503,425,56169,8080,Bot
3445374,4940,1,88,0,13808,80,DDoS
76,2,0,0,0,15594,14050,PortScan
4696804,2525,6,86,0,65443,80,DDoS
8419,11,14,1290,2202,27361,691,BENIGN
73,2,0,0,0,15028,7172,PortScan
43,2,0,0,0,52535,32588,PortScan
38,2,0,0,0,14080,43671,PortScan
5886,15,20,1113,98,52142,624,BENIGN
9012,10,10,1379,3094,37332,266,BENIGN
241,9,12,1074,323,57190,65,BENIGN
6035,7,14,1040,4139,60554,566,BENIGN
4795932,2689,0,84,0,17240,80,DDoS
4731,18,1,639,2574,4765,465,BENIGN
4366,16,16,1321,146,40355,17,BENIGN
1211,8,7,226,3575,14577,488,BENIGN
7982,4,1,1308,2982,49683,954,BENIGN
9481,13,15,955,3449,45947,340,BENIGN
25174,72,44,4652,1242,7013,445,Infiltration
34,2,0,0,0,52841,61329,PortScan
19161,44,11,204,286,16985,8080,Bot
8915,5,16,504,3311,32250,483,BENIGN
7451,6,13,1090,1048,62848,412,BENIGN
61,2,0,0,0,11429,44415,PortScan
2816,18,18,1168,3274,49684,615,BENIGN
3975,15,16,1149,2055,53088,889,BENIGN
34,2,0,0,0,58786,12479,PortScan
9866,12,1,939,2022,30993,695,BENIGN
84,2,0,0,0,59269,22235,PortScan
4327280,2722,6,90,0,58099,80,DDoS
4160,15,11,1288,4856,22148,83,BENIGN
4540,2,1,1341,1602,42349,878,BENIGN
4713,16,12,918,2193,53226,233,BENIGN
53064,47,48,757,909,53627,8080,Bot
612,19,18,1365,4271,10296,328,BENIGN
2714,20,6,591,1690,13799,360,BENIGN
2204,17,17,795,797,3123,800,BENIGN
6517,19,17,1291,333,58942,217,BENIGN
1249,16,10,634,824,7577,187,BENIGN
8212,16,14,74,4561,27411,5,BENIGN
20,2,0,0,0,17536,7367,PortScan
6144,13,14,419,384,24845,708,BENIGN
5310,8,8,502,2397,9670,874,BENIGN
1221,1,16,151,4999,61754,534,BENIGN
3596,12,5,420,205,9974,949,BENIGN
1527003,4532,9,67,0,26969,80,DDoS
40,2,0,0,0,57292,5268,PortScan
9071,15,2,510,4154,37671,401,BENIGN
2501629,1521,8,92,0,61645,80,DDoS
23062,14,50,351,162,57571,8080,Bot
1312,11,14,76,1923,23473,753,BENIGN
1794,14,13,1156,4760,20343,423,BENIGN
5011,4,15,80,3519,22533,932,BENIGN
4358,5,9,408,1638,25388,95,BENIGN
1478,6,6,704,1693,37890,879,BENIGN
17,2,0,0,0,63528,40517,PortScan
91298,84,68,6432,32496,38463,445,Infiltration
8741,12,15,1157,3239,6760,555,BENIGN
874,19,12,561,1767,7025,668,BENIGN
5192,20,9,114,1211,60307,216,BENIGN
9192,19,14,964,1277,26726,459,BENIGN
42,2,0,0,0,56659,21408,PortScan
4869,19,8,336,769,44261,999,BENIGN
1996489,3138,8,86,0,22196,80,DDoS
9270,20,10,890,3074,4888,245,BENIGN
8182,4,17,1446,2297,47694,188,BENIGN
5654,20,19,1488,248,7595,956,BENIGN
6265,5,6,811,2795,50532,1015,BENIGN
4431788,4016,4,68,0,12440,80,DDoS
6910,10,14,1395,1972,36269,552,BENIGN
7001,4,1,1318,3355,63410,85,BENIGN
4825,6,4,1399,88,7666,157,BENIGN
7894,13,2,1202,3085,18815,616,BENIGN
37,2,0,0,0,11588,61904,PortScan
35417,44,92,3225,17723,33539,445,Infiltration
7619,8,20,1239,1607,4899,702,BENIGN
2041022,3449,8,95,0,43767,80,DDoS
715,13,14,89,4099,1917,550,BENIGN
7990,11,10,824,2257,29853,344,BENIGN
7046,19,16,392,4015,12090,502,BENIGN
8079,18,16,933,1065,51971,825,BENIGN
2697,5,5,121,3669,50532,968,BENIGN
2465,13,9,611,2614,4159,73,BENIGN
1358,15,15,911,1308,34144,956,BENIGN
3895,11,18,634,4598,3842,955,BENIGN
3304,13,1,145,4065,57799,69,BENIGN
83633,74,51,2056,44748,12262,445,Infiltration
9037,15,10,798,3634,44668,468,BENIGN
6843,18,13,319,4673,55057,346,BENIGN
86672,71,48,4199,5402,48901,445,Infiltration
4702,1,17,312,1900,40506,287,BENIGN
138,13,16,994,3372,6713,863,BENIGN
881,16,3,1240,105,17703,16,BENIGN
8701,12,8,1478,3399,38757,480,BENIGN
4333854,4696,7,82,0,24671,80,DDoS
377794,1070,0,99,0,49935,80,DDoS
4608,5,20,1100,2329,12978,206,BENIGN
6744,13,2,1423,2421,28098,835,BENIGN
4929,12,19,1210,934,35897,519,BENIGN
6776,4,18,958,1656,25537,863,BENIGN
3707277,4859,7,94,0,62382,80,DDoS
38374,24,48,346,133,9809,8080,Bot
7411,5,7,445,1493,19465,876,BENIGN
8835,6,17,753,2505,26268,269,BENIGN
639,6,16,1332,1526,56877,609,BENIGN
7047,15,6,379,4872,64505,668,BENIGN
3164,4,5,1442,1385,43638,87,BENIGN
2708251,1600,6,95,0,43273,80,DDoS
3276,5,8,1403,1714,57320,497,BENIGN
18,2,0,0,0,22867,22149,PortScan
5536,3,2,778,315,60229,77,BENIGN
3811,10,15,1334,4267,21250,774,BENIGN
63,2,0,0,0,60912,36754,PortScan
5780,7,6,1168,1737,61827,124,BENIGN
2574,15,15,643,1615,52056,646,BENIGN
1679,14,8,473,839,5378,425,BENIGN
86,2,0,0,0,54065,10850,PortScan
5949,14,12,1214,3462,65316,662,BENIGN
1374,11,13,331,422,44582,969,BENIGN
4041,16,12,1269,4947,57024,58,BENIGN
59,2,0,0,0,32492,15840,PortScan
7351,17,16,552,1504,34877,880,BENIGN
7399,3,11,1387,3554,56171,254,BENIGN
8057,6,6,1435,2425,37791,903,BENIGN
6321,20,16,1391,1827,60572,888,BENIGN
5913,17,4,274,103,63273,986,BENIGN
1719606,4733,6,93,0,28459,80,DDoS
7875,1,1,366,3441,22094,423,BENIGN
2903116,4267,5,100,0,58611,80,DDoS
7853,17,5,1055,1649,56284,704,BENIGN
11088,32,14,735,359,41973,8080,Bot
2006,10,16,1499,3294,15719,561,BENIGN
3122,6,5,955,1084,33662,513,BENIGN
1296,2,17,1327,2423,19029,521,BENIGN
8686,2,3,618,3144,3882,468,BENIGN
2889,9,13,770,1102,52540,488,BENIGN
3959724,2656,3,87,0,57854,80,DDoS
5176,2,1,955,1236,1249,121,BENIGN
7914,11,12,149,1326,22675,741,BENIGN
3440,1,11,363,4402,59345,140,BENIGN
353,11,15,767,733,6482,682,BENIGN
1240,2,4,393,399,6074,291,BENIGN
25,2,0,0,0,57887,47938,PortScan
37919,88,28,34757,23299,10002,445,Infiltration
5586,11,12,898,2738,37117,436,BENIGN
6207,10,16,1052,2018,59667,957,BENIGN
121,19,1,1265,3442,20090,128,BENIGN
2036,14,20,471,3096,60484,1001,BENIGN
6861,18,5,1277,4453,51492,761,BENIGN
8593,12,18,1081,2128,14380,347,BENIGN
8995,17,17,586,2628,28053,223,BENIGN
967,18,12,555,4869,42645,716,BENIGN
37,2,0,0,0,1484,47189,PortScan
4090,4,5,440,3418,32497,12,BENIGN
3716327,3248,7,89,0,62639,80,DDoS
2114504,1347,2,87,0,27104,80,DDoS
100,2,0,0,0,26019,22765,PortScan
2002,8,13,1206,3137,58775,506,BENIGN
7452,11,5,208,4488,3322,655,BENIGN
7194,3,8,473,4769,13641,516,BENIGN
587,3,10,714,2503,46592,837,BENIGN
1776,16,5,353,2486,60775,953,BENIGN
6664,10,1,330,2508,24122,9,BENIGN
1487,19,15,502,3921,16134,409,BENIGN
8192,23,27,285,622,43170,8080,Bot
2997,15,13,1054,473,16251,874,BENIGN
9232,14,6,519,1870,59217,406,BENIGN
7296,20,1,1406,3720,7623,678,BENIGN
9431,8,10,612,1100,60119,508,BENIGN
4361,3,12,692,1024,11761,751,BENIGN
8341,12,14,133,859,34920,729,BENIGN
8145,15,11,462,4950,4571,61,BENIGN
3655,6,19,1349,1127,19361,532,BENIGN
4834,14,4,508,1829,40159,63,BENIGN
3085,6,17,1150,962,25811,18,BENIGN
4873766,2640,5,78,0,23919,80,DDoS
1073,11,12,716,3685,39460,933,BENIGN
4649,17,1,486,2707,17061,484,BENIGN
6284,20,18,436,152,8841,811,BENIGN
2431,1,19,1345,4239,57069,688,BENIGN
1342,5,11,411,739,55927,725,BENIGN
44,2,0,0,0,15129,18827,PortScan
4743,16,4,268,1058,32677,244,BENIGN
2757,37,19,229,221,62995,8080,Bot
8577,19,9,701,1733,58577,885,BENIGN
58,2,0,0,0,61195,768,PortScan
823,8,20,438,1869,8742,685,BENIGN
2688,5,9,1374,4383,47954,856,BENIGN
6068,18,2,963,1358,28164,908,BENIGN
1850,12,4,720,1549,64121,607,BENIGN
1219,11,16,702,1426,6382,601,BENIGN
1930,13,8,858,4972,53826,226,BENIGN
63939,86,92,25740,18089,43672,445,Infiltration
7654,10,7,1412,2420,1651,723,BENIGN
7416,10,8,938,4734,34544,269,BENIGN
9977,2,10,307,1626,19183,777,BENIGN
9482,12,9,1420,1704,51713,589,BENIGN
9405,17,15,1218,2660,2295,510,BENIGN
4575023,3311,6,78,0,26211,80,DDoS
7791,14,15,575,4626,46930,349,BENIGN
5679,18,3,448,3739,43701,518,BENIGN
4612,11,4,997,2127,34152,942,BENIGN
9650,19,17,798,4970,12994,595,BENIGN
13078,6,15,506,921,4112,8080,Bot
89,2,0,0,0,56634,22922,PortScan
1328122,3109,5,83,0,34102,80,DDoS
4876,9,8,1223,3676,31699,34,BENIGN
2016,2,5,380,830,46319,880,BENIGN
9124,8,5,794,3375,44544,198,BENIGN
3135,19,1,1371,2888,21456,901,BENIGN
21929,27,20,15680,45112,14567,445,Infiltration
2671871,3526,9,71,0,9575,80,DDoS
8516,16,14,632,4395,8108,693,BENIGN
4044,8,8,675,542,62789,308,BENIGN
4561,9,14,1243,1510,49518,946,BENIGN
27619,23,10,328,724,29815,8080,Bot
2582,9,10,511,2330,10873,712,BENIGN
40048,32,27,780,211,31425,8080,Bot
64,2,0,0,0,23563,11597,PortScan
2875,2,2,978,2082,25023,645,BENIGN
7059,2,4,553,480,32758,993,BENIGN
2705,2,19,608,4390,36276,503,BENIGN
1293,16,16,73,2390,47996,134,BENIGN
9071,17,15,450,1043,25925,641,BENIGN
48459,43,12,989,377,21934,8080,Bot
2495268,1733,4,94,0,41455,80,DDoS
945,5,18,701,408,3597,189,BENIGN
3240,18,12,274,4281,11070,755,BENIGN
9324,20,8,1030,4523,1714,449,BENIGN
7700,19,17,333,4876,53717,342,BENIGN
30,2,0,0,0,60530,53174,PortScan
3157,18,14,1051,1896,45842,515,BENIGN
7530,4,6,680,4287,16425,401,BENIGN
45,2,0,0,0,64428,8091,PortScan
8252,9,19,385,1497,23938,242,BENIGN
16449,20,45,990,688,10136,8080,Bot
4618,6,11,154,1015,36384,990,BENIGN
10483,69,92,30578,35055,2238,445,Infiltration
5493,3,19,1284,2143,10636,716,BENIGN
1782,20,8,1238,4999,53006,185,BENIGN
46,2,0,0,0,30838,263,PortScan
59,2,0,0,0,34723,14544,PortScan
3822,8,16,542,455,41789,784,BENIGN
6628,14,19,818,4297,11721,692,BENIGN
7263,14,5,1496,2259,30234,287,BENIGN
12,2,0,0,0,21711,63582,PortScan
2994,5,2,888,2410,57473,577,BENIGN
8887,19,19,282,117,45690,84,BENIGN
5901,15,20,892,3261,24951,210,BENIGN
1064952,3422,4,95,0,49500,80,DDoS
24429,32,29,655,639,50087,8080,Bot
5875,9,10,1469,1374,28621,773,BENIGN
4003335,1124,1,89,0,45911,80,DDoS
3720,5,18,1290,2241,49647,169,BENIGN
7061,17,4,1471,4477,20650,711,BENIGN
153,16,2,1415,4532,48193,800,BENIGN
8181,5,9,809,276,63546,444,BENIGN
1191574,3993,4,89,0,2566,80,DDoS
2975,6,5,177,3349,41466,736,BENIGN
6919,16,6,827,4124,33194,174,BENIGN
5630,10,13,1017,1188,2977,689,BENIGN
1318820,2101,7,98,0,2161,80,DDoS
9202,12,6,1400,2651,14062,829,BENIGN
8034,6,16,691,3265,43238,117,BENIGN
7720,5,6,1327,4659,54482,33,BENIGN
2325,9,13,211,1110,48847,200,BENIGN
2540660,3472,1,91,0,8734,80,DDoS
12,2,0,0,0,50006,19640,PortScan
2989997,3029,10,100,0,17854,80,DDoS
1148068,2727,8,81,0,50376,80,DDoS
952,2,5,847,4906,29040,579,BENIGN
1297,19,3,864,4932,9461,380,BENIGN
6858,12,6,640,2545,55077,1016,BENIGN
90,2,0,0,0,18779,52145,PortScan
1911,6,4,694,4801,41350,85,BENIGN
2201356,3502,6,68,0,23773,80,DDoS
7950,20,16,431,3304,20785,129,BENIGN
42804,57,27,28530,29747,33136,445,Infiltration
3747560,1951,0,86,0,54031,80,DDoS
6120,12,12,237,2144,1373,208,BENIGN
7008,2,19,690,3591,53729,79,BENIGN
6491,5,3,717,770,20662,152,BENIGN
5982,11,7,1106,3942,45978,35,BENIGN
6512,4,20,345,3213,41433,595,BENIGN
336,4,12,1082,172,15352,700,BENIGN
3512602,1415,0,80,0,44753,80,DDoS
38,2,0,0,0,15817,24326,PortScan
83766,73,30,21276,38020,57310,445,Infiltration
4305261,3688,6,93,0,55559,80,DDoS
28816,32,76,29514,45034,58271,445,Infiltration
7608,17,7,899,2851,16692,417,BENIGN
2845,4,6,318,4159,19267,802,BENIGN
5442,10,12,1342,1104,6737,625,BENIGN
110,16,6,1183,3344,10214,684,BENIGN
8185,18,13,1111,2007,43986,655,BENIGN
3474,4,15,534,4034,3279,877,BENIGN
45,2,0,0,0,47968,43861,PortScan
8844,20,12,759,2948,19855,761,BENIGN
3256,9,14,421,3865,48580,530,BENIGN
8881,8,12,1480,2695,15095,769,BENIGN
3387377,3371,1,96,0,50856,80,DDoS
1702,4,2,422,2198,49601,227,BENIGN
456,14,7,1125,4208,28363,198,BENIGN
94,2,0,0,0,63776,48089,PortScan
1199498,1313,4,86,0,20074,80,DDoS
7278,15,6,507,716,10428,208,BENIGN
7476,16,1,410,3314,22249,173,BENIGN
16599,45,48,351,589,55235,8080,Bot
4589,1,14,1109,751,4747,695,BENIGN
167,8,16,791,4571,52391,116,BENIGN
2695590,3351,9,92,0,31578,80,DDoS
2096,5,5,376,2441,22886,272,BENIGN
5794,14,5,195,1687,53408,817,BENIGN
5942,14,19,169,1129,32076,178,BENIGN
49253,63,39,42831,5214,29297,445,Infiltration
3895,5,14,1228,4205,27499,335,BENIGN
9147,18,14,620,2740,22431,13,BENIGN
1998,9,2,1230,4175,53390,320,BENIGN
3086,17,20,993,3920,34853,590,BENIGN
81,2,0,0,0,50252,1499,PortScan
2051252,4667,6,77,0,39365,80,DDoS
5710,6,20,426,4812,56014,690,BENIGN
2016136,4375,8,92,0,33861,80,DDoS
2977,6,12,632,3313,31137,782,BENIGN
4780,12,6,230,1791,49647,707,BENIGN
93,2,0,0,0,44913,12832,PortScan
6454,11,7,561,2441,40353,870,BENIGN
5359,20,19,108,3299,33393,49,BENIGN
34385,47,37,141,912,20196,8080,Bot
3708,1,3,84,4998,7551,852,BENIGN
462,9,7,160,4599,62263,49,BENIGN
6104,7,1,1112,4670,21089,815,BENIGN
1034,16,20,1309,4219,1434,774,BENIGN
1385,8,12,417,4397,17125,444,BENIGN
9467,9,7,656,3532,28053,449,BENIGN
8966,11,11,1129,4583,9135,242,BENIGN
86,2,0,0,0,11510,25750,PortScan
6491,10,10,1177,4750,14500,76,BENIGN
4156,5,12,196,2301,46522,116,BENIGN
6111,9,12,1260,2691,32402,383,BENIGN
3873813,2869,1,74,0,4743,80,DDoS
2566562,2345,2,68,0,8316,80,DDoS
16658,13,66,8827,24046,47261,445,Infiltration
1017968,2189,7,70,0,45815,80,DDoS
2312,4,4,591,87,61851,650,BENIGN
7250,12,9,617,322,39349,751,BENIGN
4383,4,1,655,4340,11707,129,BENIGN
3283,14,2,135,2851,46232,501,BENIGN
1010,37,45,923,227,21873,8080,Bot
9008,19,20,1120,1689,1938,53,BENIGN
429834,4867,3,75,0,33122,80,DDoS
24059,19,90,25686,32493,14298,445,Infiltration
6766,16,1,1379,1748,54058,394,BENIGN
14653,37,50,851,930,13519,8080,Bot
984,17,17,698,2571,38872,324,BENIGN
4186,19,1,791,3549,37261,588,BENIGN
3758,10,1,1027,2447,31352,580,BENIGN
6371,9,8,1094,1753,5191,257,BENIGN
6593,2,2,1434,2680,64157,74,BENIGN
10006,22,82,49900,20356,18931,445,Infiltration
4994010,3467,5,77,0,63619,80,DDoS
417,9,6,835,2224,54374,42,BENIGN
2316,1,16,453,3418,42456,189,BENIGN
1323,6,18,1473,3069,54686,210,BENIGN
60614,87,84,36996,43713,38157,445,Infiltration
4614,15,12,1065,638,35701,756,BENIGN
643079,3097,4,96,0,34524,80,DDoS
9482,12,8,433,2499,34870,629,BENIGN
1142,5,18,758,3491,23402,552,BENIGN
2404116,1417,4,71,0,21434,80,DDoS
20871,31,8,179,250,38469,8080,Bot
1843508,3012,5,88,0,13491,80,DDoS
7658,20,15,1048,3671,15870,58,BENIGN
922,15,2,350,2155,56574,235,BENIGN
7871,8,3,769,1142,26853,793,BENIGN
8083,17,7,688,4224,60050,95,BENIGN
5642,10,17,462,3670,17721,819,BENIGN
2489,1,16,541,656,29663,21,BENIGN
5984,17,10,917,2086,65413,420,BENIGN
41020,28,10,241,647,31718,8080,Bot
6561,14,8,520,1278,59548,13,BENIGN
2575,10,5,832,2596,36382,939,BENIGN
3154,15,9,333,4126,26491,205,BENIGN
7614,19,10,263,1711,43440,586,BENIGN
3909,15,2,1494,1014,4005,371,BENIGN
1745,6,2,1144,3690,32304,917,BENIGN
4169,18,4,1387,1846,52314,722,BENIGN
7945,3,20,386,218,39947,143,BENIGN
8177,7,15,958,4724,54291,252,BENIGN
405,1,16,711,1371,17147,595,BENIGN
9070,7,15,1023,652,16397,451,BENIGN
47,2,0,0,0,5826,41986,PortScan
61,2,0,0,0,23443,1731,PortScan
1873323,3025,0,73,0,30711,80,DDoS
886,6,19,366,3462,32686,1013,BENIGN
5330,1,17,1466,3701,59958,343,BENIGN
16,2,0,0,0,21384,51067,PortScan
59501,20,100,30711,49200,40283,445,Infiltration
6925,14,7,1177,3436,28077,796,BENIGN
8804,5,10,1400,2435,63273,946,BENIGN
5126,11,5,258,458,58959,130,BENIGN
57,2,0,0,0,45950,65388,PortScan
3076,7,18,939,2187,41087,909,BENIGN
5759,2,8,1320,4313,61673,631,BENIGN
5000,20,14,1492,1502,18023,478,BENIGN
4767,7,12,1462,928,24639,871,BENIGN
1105,19,8,352,2664,6721,438,BENIGN
646,11,3,644,743,10552,426,BENIGN
66101,23,58,37224,9919,1203,445,Infiltration
4479,8,6,988,2248,8256,550,BENIGN
9881,5,8,1229,4999,60731,121,BENIGN
8597,13,14,281,1793,26303,380,BENIGN
595,6,1,1250,4094,9100,398,BENIGN
1411,1,7,155,4769,42617,599,BENIGN
5733,6,7,514,2772,1784,845,BENIGN
397,19,3,899,715,27441,186,BENIGN
1009,20,19,1464,2396,52783,465,BENIGN
1294,1,8,545,2841,61132,614,BENIGN
3649,14,4,1441,2259,42928,291,BENIGN
8676,18,14,1392,4187,2165,674,BENIGN
5636,18,12,1026,512,46914,142,BENIGN
96964,77,80,34484,3883,57530,445,Infiltration
3118,3,3,1431,326,57738,399,BENIGN
2317,3,17,1411,358,62944,500,BENIGN
5114,4,2,625,4746,32426,669,BENIGN
3310,13,6,1237,254,65243,95,BENIGN
2880,12,4,972,1520,26770,932,BENIGN
933,6,14,1479,3983,15029,1014,BENIGN
8363,18,4,978,1094,31089,643,BENIGN
3195,3,13,266,482,50974,574,BENIGN
90,2,0,0,0,36676,14371,PortScan
1972,6,3,187,956,27262,395,BENIGN
9260,1,2,886,796,17628,1024,BENIGN
1282,11,20,1482,905,62641,711,BENIGN
2375,4,12,509,3424,56227,726,BENIGN
9357,10,11,751,1350,6432,181,BENIGN
1540,17,10,1172,3239,41759,984,BENIGN
1008,2,11,640,3222,53424,158,BENIGN
19,2,0,0,0,50637,14687,PortScan
43101,18,19,909,296,53208,8080,Bot
5427,2,20,912,767,20896,432,BENIGN
3767,5,18,1170,1732,59991,329,BENIGN
40,2,0,0,0,28551,6759,PortScan
9382,1,15,142,4768,46667,143,BENIGN
9579,2,8,150,3723,59011,980,BENIGN
20051,37,35,538,653,1897,8080,Bot
2647,18,16,580,1400,38204,204,BENIGN
9484,13,12,644,4423,40074,55,BENIGN
7731,17,15,1165,546,60513,624,BENIGN
8927,20,4,367,3244,37715,831,BENIGN
4407,4,15,1012,173,13802,373,BENIGN
9142,11,2,304,2365,38388,628,BENIGN
7038,19,8,121,3655,5541,408,BENIGN
78,2,0,0,0,35105,48169,PortScan
2847,18,12,379,4663,45812,832,BENIGN
3680179,4335,8,67,0,65343,80,DDoS
2070,4,20,135,3846,38235,48,BENIGN
6004,19,7,324,4549,24040,59,BENIGN
1243,1,18,1381,549,32591,134,BENIGN
499760,1133,3,97,0,11203,80,DDoS
8709,3,2,375,2179,56711,262,BENIGN
62,2,0,0,0,20905,32037,PortScan
9547,11,8,729,2858,40074,117,BENIGN
4514,3,18,869,182,25435,227,BENIGN
82004,30,83,8555,14686,21771,445,Infiltration
6115,18,19,464,4861,51509,316,BENIGN
3277,14,12,578,312,50164,51,BENIGN
24,2,0,0,0,17656,32084,PortScan
80369,20,62,6527,20812,40710,445,Infiltration
6047,18,19,1414,3344,13690,108,BENIGN
238,15,1,1291,4088,60982,32,BENIGN
31,2,0,0,0,26871,59859,PortScan
10233,96,53,44685,47204,18512,445,Infiltration
63,2,0,0,0,12503,50242,PortScan
6853,7,20,910,2427,5948,164,BENIGN
3675,1,13,1045,1246,45084,524,BENIGN
5747,18,4,1446,458,40612,402,BENIGN
3913,19,5,178,1612,7518,67,BENIGN
3865,11,7,881,2781,53810,474,BENIGN
3888,14,20,941,1691,51005,386,BENIGN
1770679,1328,0,72,0,2951,80,DDoS
2979,18,17,1323,3252,17269,997,BENIGN
2600,20,14,1337,2123,29397,300,BENIGN
1154,8,9,1149,4593,11691,331,BENIGN
5554,15,5,440,4178,30595,861,BENIGN
3268,20,12,490,1795,26368,280,BENIGN
7466,13,18,680,1175,11875,502,BENIGN
8526,1,17,922,3595,30461,585,BENIGN
8315,6,10,1312,4380,35057,171,BENIGN
6488,19,1,851,2473,43980,982,BENIGN
9143,15,8,1032,1958,63474,916,BENIGN
4931,6,12,80,2369,51406,413,BENIGN
46,2,0,0,0,49255,8199,PortScan
3215,19,13,1364,4654,38760,588,BENIGN
7275,4,10,1136,2716,45510,1006,BENIGN
4896,5,3,698,2006,62569,360,BENIGN
27,2,0,0,0,12678,17790,PortScan
2020,9,8,147,3806,18722,449,BENIGN
710,3,17,699,2658,37379,372,BENIGN
52625,50,17,497,606,61873,8080,Bot
4959,15,5,1195,2289,49135,714,BENIGN
3100,13,18,1207,1560,31387,353,BENIGN
916,11,7,979,3472,63149,190,BENIGN
5918,9,19,1473,3708,12314,808,BENIGN
27,2,0,0,0,29893,11570,PortScan
9058,3,17,1180,3518,18532,323,BENIGN
92,2,0,0,0,35182,50444,PortScan
5670,6,8,1157,3498,55198,624,BENIGN
2672,9,18,729,2776,38965,96,BENIGN
3349,19,4,253,3750,15032,679,BENIGN
61630,92,58,19756,8862,24323,445,Infiltration
4821,2,18,993,4421,31876,992,BENIGN
2645858,1930,3,72,0,11967,80,DDoS
6271,20,1,1356,1973,6236,620,BENIGN
59657,32,9,204,695,7603,8080,Bot
8189,15,8,1332,4654,9897,991,BENIGN
4798,17,6,382,2349,28613,1006,BENIGN
22779,28,32,461,366,53679,8080,Bot
761420,4085,6,87,0,30673,80,DDoS
4811,10,16,296,4073,50945,290,BENIGN
6986,2,4,343,4048,20466,994,BENIGN
3286,15,9,1247,838,9195,927,BENIGN
4612809,2331,6,89,0,15791,80,DDoS
9575,9,9,1352,4614,38027,154,BENIGN
11,2,0,0,0,32415,31220,PortScan
6183,3,2,116,3446,21397,659,BENIGN
2415898,1235,2,100,0,36930,80,DDoS
3436,15,1,435,752,20688,590,BENIGN
